plazoOperacion,montoCuotaOperacion,ingresosCliente,montoOperacion,gastosCliente,valorVehiculo,numeroCuotasInicioOperacion,edadCliente,codigoProvinciaCliente_10,codigoProvinciaCliente_9,codigoProvinciaCliente_otro,marcaVehiculo_Chery,marcaVehiculo_Chevrolet,marcaVehiculo_DFSK,marcaVehiculo_Hyundai,marcaVehiculo_otro,tipoResidenciaCliente_A,tipoResidenciaCliente_F,tipoResidenciaCliente_otro,claseVehiculo_Camion,codigoNivelEstudiosCliente_P,Es_Bueno
1464,577.37,1100.0,16415.6,150.0,22990.0,48,33,0,0,1,0,0,0,0,1,0,0,1,0,0,NO
1853,393.44,540.0,12824.4,96.15,16861.0,60,40,0,1,0,0,1,0,0,0,0,1,0,0,0,NO
778,395.465,7000.0,10869.6,2220.0,15000.0,48,44,1,0,0,0,1,0,0,0,0,0,1,0,0,SI
752,772.61,3300.0,19626.8,800.0,25590.0,48,61,0,0,1,0,0,0,0,1,1,0,0,0,1,SI
1052,1179.0,2000.0,33460.7,600.0,49999.0,48,39,0,0,1,0,0,0,0,1,0,1,0,0,0,SI
462,766.06,1500.0,20308.98,831.868553503788,29990.0,47,29,0,0,1,0,1,0,0,0,0,0,1,1,1,SI
1441,1372.35,6000.0,39415.6,4592.51,56990.0,47,44,0,0,1,0,0,0,1,0,1,0,0,0,0,SI
1752,336.0,2640.0,10448.4,735.0,13490.0,59,67,0,0,1,0,0,0,1,0,1,0,0,0,0,SI
879,415.01,1200.0,10659.6,475.79944868128257,14290.0,48,32,0,0,1,0,0,0,1,0,1,0,0,0,0,SI
1826,455.22,2512.423058468384,13063.4,379.66,16940.0,60,48,0,1,0,0,1,0,0,0,0,0,1,0,1,NO
377,394.07,1400.0,10043.4,475.79944868128257,13885.0,48,39,0,0,1,0,0,0,0,1,0,0,1,0,0,SI
362,908.64,6000.0,23915.6,1188.0982828282824,33690.0,47,53,0,0,1,0,0,0,1,0,0,0,1,0,0,SI
1460,508.875,1100.0,9834.4,475.79944868128257,14890.0,48,34,0,1,0,0,1,0,0,0,1,0,0,0,0,NO
181,290.63,985.0,9220.52,1.78,14298.55,59,35,0,0,1,0,1,0,0,0,1,0,0,0,0,SI
1461,563.48,800.0,14134.97,520.0,22500.0,48,65,0,0,1,0,1,0,0,0,0,0,1,0,1,NO
1461,875.76,3340.0,26037.2,1188.0982828282824,34990.0,48,63,0,0,1,0,0,0,0,1,1,0,0,0,0,SI
797,536.29,2500.0,15083.13,1034.29,23319.92,60,54,0,0,1,0,0,0,1,0,0,1,0,0,1,NO
1441,313.11,5900.0,9038.4,2950.0,13680.0,48,40,0,0,1,0,1,0,0,0,0,1,0,0,0,SI
843,671.25,1700.0,15359.6,100.0,19990.0,36,27,0,0,1,0,0,0,0,1,1,0,0,0,1,SI
1104,418.05,1800.0,9653.4,475.79944868128257,18590.0,36,40,0,0,1,0,1,0,0,0,1,0,0,0,0,SI
1354,555.74,5882.0,18787.2,831.868553503788,24470.4,60,57,0,0,1,0,0,0,0,1,0,0,1,0,0,SI
22,19854.47,1615.7,19626.58,654.01,26628.4,2,29,0,0,1,0,0,0,0,1,0,1,0,0,0,SI
564,428.88,1545.0,10100.4,475.79944868128257,12990.0,36,59,0,0,1,0,0,0,1,0,1,0,0,0,0,SI
1851,750.655,5150.0,24570.01,3203.93,34544.41,60,60,0,0,1,0,0,0,1,0,1,0,0,0,1,NO
663,293.86,2100.0,8359.6,475.79944868128257,11490.0,47,57,0,0,1,0,0,0,1,0,1,0,0,0,0,SI
1858,553.61,3502.073231534092,17255.16,994.42,25854.56,60,28,0,0,1,0,1,0,0,0,1,0,0,0,1,NO
1096,414.22,1580.0,9554.0,475.79944868128257,14290.0,36,60,0,0,1,0,0,0,1,0,1,0,0,0,0,SI
1845,377.5,1800.0,10870.9,475.79944868128257,14200.0,60,41,0,0,1,0,0,0,0,1,0,1,0,0,1,NO
1846,347.185,768.0,11570.64,1132.47,14390.0,60,54,0,0,1,0,0,0,0,1,1,0,0,0,1,NO
124,378.71,1200.0,5254.6,475.79944868128257,13885.0,24,35,0,0,1,0,0,0,0,1,1,0,0,0,0,SI
1104,1191.23,1900.0,21464.02,300.0,28490.0,36,28,0,0,1,0,0,0,0,1,0,1,0,0,0,NO
1613,344.065,2200.0,11054.73,475.79944868128257,14396.33,59,55,0,0,1,0,1,0,0,0,1,0,0,0,1,SI
342,1313.86,900.0,23026.0,460.0,39990.0,24,73,0,0,1,0,0,0,0,1,0,0,1,0,0,SI
1519,326.865,2100.0,9359.6,300.0,11990.0,60,39,0,0,1,0,0,0,0,1,1,0,0,0,1,SI
1844,383.82,470.0,11771.84,166.25,16290.0,60,35,0,0,1,0,0,0,0,1,1,0,0,0,0,NO
722,762.95,3500.0,11915.6,1200.0,31490.0,25,59,1,0,0,0,0,0,1,0,0,0,1,0,1,SI
1125,650.64,2800.0,21143.6,831.868553503788,30107.6,59,52,0,0,1,0,0,0,1,0,0,0,1,0,0,SI
1485,591.07,1800.0,16883.44,186.57,24490.0,48,29,0,0,1,0,0,0,0,1,0,1,0,0,0,NO
1461,387.715,1500.0,9159.6,300.0,13790.0,49,33,0,0,1,0,0,0,0,1,1,0,0,0,0,SI
1461,626.725,3502.073231534092,16499.0,125.35,29200.0,48,56,0,0,1,0,0,0,0,1,0,1,0,0,0,SI
1826,419.35,2512.423058468384,12121.21,908.39,16790.0,60,70,0,1,0,0,1,0,0,0,0,1,0,0,0,NO
613,446.54,2100.0,11234.6,475.79944868128257,15190.0,48,54,0,0,1,0,1,0,0,0,0,1,0,0,0,SI
1843,351.17,1650.0,11750.9,475.79944868128257,15190.0,60,57,0,1,0,0,1,0,0,0,1,0,0,0,0,SI
930,394.69,900.0,11319.4,200.0,15711.0,60,28,0,0,1,0,1,0,0,0,0,1,0,0,0,SI
1471,432.99,5000.0,12602.91,3000.0,16615.0,48,37,0,1,0,0,1,0,0,0,0,1,0,0,0,NO
187,393.76,1483.0,12248.8,475.79944868128257,19250.0,60,31,0,0,1,0,1,0,0,0,0,1,0,0,0,SI
1492,455.79,2700.0,11162.33,338.64,17899.0,48,61,0,0,1,0,0,1,0,0,0,0,1,0,1,NO
170,457.875,2800.0,12958.8,520.0,19990.0,48,56,1,0,0,0,0,0,0,1,1,0,0,0,0,SI
1819,31.29,3502.073231534092,19680.81,923.02,26715.44,60,60,0,1,0,0,0,0,1,0,0,1,0,0,1,NO
1057,616.19,3502.073231534092,14415.6,996.54,23990.0,36,45,0,1,0,0,0,0,0,1,1,0,0,0,1,SI
1461,422.76,1200.0,10759.6,830.0,15990.0,48,38,1,0,0,0,0,0,0,1,0,1,0,0,0,SI
1828,346.155,2512.423058468384,11873.4,1426.34,15340.0,60,42,0,0,1,0,1,0,0,0,1,0,0,0,0,NO
1831,393.495,1400.0,12773.4,19.23,19100.0,60,49,0,1,0,0,1,0,0,0,0,1,0,0,0,NO
